,Full name,Symbol letter,Electron configuration,Atomic number,Atomic mass,van der Waals radius,Atomic radius,Covalent radius,Melting point,Boiling point,First electron affinity,First ionization energy,Electronegativity Pauling,Electronegativity Allred,Electronegativity Absolute,Chemical formula_Elemental atomic volume,Chemical formula_Elemental bulk modulus,Chemical formula_Elemental crystal structure (space group),Chemical formula_Elemental density,Chemical formula_Elemental electron density,Chemical formula_Elemental magnetic moment,Chemical formula_Elemental melting temperature,Chemical formula_Elemental polarizability,Chemical formula_Elemental work function,Chemical formula_Mendeleev number,Chemical formula_Number of d valence electrons,Chemical formula_Number of f valence electrons,Chemical formula_Number of p valence electrons,Chemical formula_Number of s valence electrons,Chemical formula_Number of unfilled f valence electrons,Chemical formula_Number of unfilled p valence electrons,Chemical formula_Number of unfilled s valence electrons,Chemical formula_Pauling electronegativity,Chemical formula_Radius of d orbitals,Chemical formula_Radius of p orbitals,Chemical formula_Radius of s orbitals,Chemical formula_Row in periodic table,Chemical formula_Total number of unfilled valence electrons,Chemical formula_Total number of valence electrons,Density
52,Iodine,I,4d105s25p5,53,126.90447,215,,139,386.7,457.5,295.2,1008.4,2.66,2.21,6.76,42.51,7.7,64.0,4940.0,1.366575342465753,0.0,386.85,5.025,4.034246575342466,96.0,10.0,0.0,5.0,2.0,0.0,1.0,0.0,2.66,0.315,0.83,0.755,5.0,1.0,17.0,4.897113310774784
53,Xenon,Xe,4d105s25p6,54,131.29,216,218,140,161.3,166.1,-5,1170.4,2.6,2.4,5.85,57.83,90.79420289855072,225.0,5.9,1.366575342465753,0.0,161.3,4.044,4.034246575342466,102.0,10.0,0.0,6.0,2.0,0.0,0.0,0.0,2.6,0.305,0.81,0.75,5.0,0.0,18.0,4.443705315998574
54,Cesium,Cs,4d105s25p66s1,55,132.905,,260,244,301.59,944,45.5,375.7,0.79,,,67.55,1.6,229.0,1879.0,0.55,0.0,301.59,59.42,1.95,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.79,0.4013396226415093,2.6,1.71,6.0,1.0,1.0,2.5780876832092963
55,Barium,Ba,4d105s25p66s2,56,137.327,,217,215,1002,1910,13.95,502.8,0.89,0.97,2.4,62.88,9.6,229.0,3510.0,0.81,0.0,1000.0,39.7,2.32,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.89,0.94,1.887,1.515,6.0,0.0,2.0,4.167139699412699
56,Lanthanum,La,,57,,,,207,1193,3737,45,538.1,1.1,,,37.42,28.0,194.0,6146.0,1.18,0.0,1193.0,31.1,3.17,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,0.874,1.705,1.375,6.0,9.0,3.0,6.129130218414188
57,Cerium,Ce,,58,,,,204,1071,3716,55,534.4,1.12,,,34.47,22.0,194.0,6689.0,1.19,0.0,1071.0,29.6,3.18,15.0,1.0,1.0,0.0,2.0,13.0,0.0,0.0,1.12,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,22.0,4.0,7.804911499048917
58,Praseodymium,Pr,,59,,,,203,1204,3403,93,527,1.13,,,34.5,29.0,194.0,6640.0,1.2,0.0,1204.0,28.2,3.19,17.0,0.0,3.0,0.0,2.0,11.0,0.0,0.0,1.13,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,11.0,5.0,8.092781688870728
59,Neodymium,Nd,,60,,,,201,1294,3347,16,533.1,1.14,,,34.2,32.0,194.0,7010.0,1.2,0.0,1294.0,31.4,3.19,19.0,0.0,4.0,0.0,2.0,10.0,0.0,0.0,1.14,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,10.0,6.0,9.251082615804366
60,Promethium,Pm,,61,,,,199,1373,3273,12,540,1.13,,,33.67,33.0,194.0,7264.0,1.21,0.0,1373.0,30.1,3.19,21.0,0.0,5.0,0.0,2.0,9.0,0.0,0.0,1.155,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,9.0,7.0,9.782168441448281
61,Samarium,Sm,,62,,,,198,1345,2173,16,544.5,1.17,,,33.14,38.0,166.0,7353.0,1.21,0.0,1345.0,28.8,3.2,23.0,0.0,6.0,0.0,2.0,8.0,0.0,0.0,1.17,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,8.0,8.0,9.851344340942116
62,Europium,Eu,,63,,,,198,1095,1802,11,547.1,1.2,,,48.53,8.3,229.0,5244.0,0.88,0.0,1095.0,27.7,2.5,25.0,0.0,7.0,0.0,2.0,7.0,0.0,0.0,1.185,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,7.0,9.0,6.947191544540303
63,Gadolinium,Gd,,64,,,,196,1586,3273,13,593.4,1.2,,,32.98,38.0,194.0,7901.0,1.21,0.0,1586.0,23.5,3.2,27.0,1.0,7.0,0.0,2.0,7.0,0.0,0.0,1.2,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,16.0,10.0,10.412237391512267
64,Terbium,Tb,,65,,,,194,1629,3396,42,565.8,1.1,,,31.95,38.7,194.0,8219.0,1.22,0.0,1629.0,25.5,3.21,29.0,0.0,9.0,0.0,2.0,5.0,0.0,0.0,1.21,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,5.0,11.0,10.014553282366466
65,Dysprosium,Dy,,66,,,,192,1685,2840,34,573,1.22,,,31.6,41.0,194.0,8551.0,1.22,0.0,1685.0,24.5,3.21,31.0,0.0,10.0,0.0,2.0,4.0,0.0,0.0,1.22,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,4.0,12.0,10.411927812284297
66,Holmium,Ho,,67,,,,192,1747,2873,33,581,1.23,,,31.11,40.0,194.0,8795.0,1.22,0.0,1747.0,23.6,3.22,33.0,0.0,11.0,0.0,2.0,3.0,0.0,0.0,1.23,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,3.0,13.0,10.367435148046226
67,Erbium,Er,,68,,,,189,1770,3141,30,589.3,1.24,,,30.67,44.0,194.0,9066.0,1.23,0.0,1770.0,22.7,3.22,35.0,0.0,12.0,0.0,2.0,2.0,0.0,0.0,1.24,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,2.0,14.0,10.533466613417382
68,Thulium,Tm,,69,,,,190,1818,2223,99,596.7,1.25,,,30.14,45.0,194.0,9321.0,1.23,0.0,1818.0,21.8,3.22,37.0,0.0,13.0,0.0,2.0,1.0,0.0,0.0,1.25,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,1.0,15.0,10.55536848085863
69,Ytterbium,Yb,,70,,,,187,1092,1703,0,603.4,1.1,,,41.17,31.0,225.0,6570.0,0.92,0.0,1092.0,20.9,2.58,39.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,1.26,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,0.0,16.0,7.618826211477397
70,Lutetium,Lu,,71,,,,187,1936,3675,33,523.5,1.27,,,29.52,48.0,194.0,9841.0,1.24,0.0022471,1936.0,21.9,3.22,41.0,1.0,14.0,0.0,2.0,0.0,0.0,0.0,1.27,0.4013396226415093,1.1406714285714288,0.9487857142857143,6.0,9.0,17.0,10.900719424618886
71,Hafnium,Hf,,72,,,,175,2506,4876,11,658.5,1.3,,,22.42,110.0,194.0,13310.0,1.45,0.0,2506.0,16.2,3.6,45.0,2.0,14.0,0.0,2.0,0.0,0.0,0.0,1.3,0.63,1.61,1.3,6.0,8.0,18.0,13.435132022274685
72,Tantalum,Ta,,73,,,,170,3290,5731,31,761,1.5,,,17.65,200.0,229.0,16650.0,1.63,0.0,3290.0,13.1,4.05,48.0,3.0,14.0,0.0,2.0,0.0,0.0,0.0,1.5,0.605,1.54,1.25,6.0,7.0,19.0,14.827162690362554
73,Tungsten,W,,74,,,,162,3695,6203,79,770,2.36,,,15.85,310.0,229.0,19250.0,1.81,0.0,3695.0,11.1,4.8,51.0,4.0,14.0,0.0,2.0,0.0,0.0,0.0,2.36,0.59,1.515,1.22,6.0,6.0,20.0,15.670047738165355
74,Rhenium,Re,,75,,,,151,3459,5869,14,760,1.9,,,14.71,370.0,194.0,21020.0,1.85,0.0,3459.0,9.7,5.2,54.0,5.0,14.0,0.0,2.0,0.0,0.0,0.0,1.9,0.565,1.49,1.19,6.0,5.0,21.0,15.570286869809884
75,Osmium,Os,,76,,,,144,3306,5285,104,840,2.2,,,13.8,90.79420289855072,194.0,22590.0,1.85,0.0,3306.0,8.5,5.4,57.0,6.0,14.0,0.0,2.0,0.0,0.0,0.0,2.2,0.543,1.48,1.17,6.0,4.0,22.0,14.810471709464714
76,Iridium,Ir,,77,,,,141,2739,4403,150,880,2.2,,,13.88,320.0,225.0,22560.0,1.83,0.0,2739.0,7.6,5.55,60.0,7.0,14.0,0.0,2.0,0.0,0.0,0.0,2.2,0.526,1.468,1.16,6.0,3.0,23.0,15.717242688532865
77,Platinum,Pt,,78,,,,136,2041.4,4098,205,870,2.28,,,15.1,230.0,225.0,21090.0,1.78,0.0,2041.4,6.5,5.65,63.0,9.0,14.0,0.0,1.0,0.0,0.0,1.0,2.28,0.51,1.46,1.24,6.0,2.0,24.0,15.694720043876277
78,Gold,Au,,79,,,,136,1337.33,3243,223,890.1,2.54,,,16.96,220.0,225.0,19300.0,1.57,0.0,1337.33,5.8,5.15,66.0,10.0,14.0,0.0,1.0,0.0,0.0,1.0,2.54,0.488,1.45,1.21,6.0,1.0,25.0,15.632921465429577
79,Mercury,Hg,,80,,,,132,234.32,629.88,0,1007.1,2,,,23.82,25.0,166.0,13534.0,1.24,0.0,234.32,5.36,4.2,71.0,10.0,14.0,0.0,2.0,0.0,0.0,0.0,2.0,0.475,1.34,1.07,6.0,0.0,26.0,11.579550643805435
80,Thallium,Tl,,81,,,,145,577,1746,36,589.4,1.62,,,28.53,43.0,194.0,11850.0,1.12,0.0,577.0,7.55,3.9,76.0,10.0,14.0,1.0,2.0,0.0,5.0,0.0,1.62,0.463,1.22,1.015,6.0,5.0,27.0,10.389654879230656
81,Lead,Pb,4d105s25p64f145d106s26p2,82,207.2,,175,146,600.65,2022,35.1,715.5,1.87,1.55,3.9,30.32,46.0,225.0,11340.0,1.15,0.0,600.61,6.995,4.1,81.0,10.0,14.0,2.0,2.0,0.0,4.0,0.0,2.33,0.45,1.13,0.96,6.0,4.0,28.0,10.453810447978292
82,Bismuth,Bi,,83,,,,148,544.4,1837,91,703,2.02,,,35.38,31.0,12.0,9780.0,1.16,0.0,544.4,0.4,4.15,86.0,10.0,14.0,3.0,2.0,0.0,3.0,0.0,2.02,0.438,1.077,0.92,6.0,3.0,29.0,9.428502455928477
83,Polonium,Po,,84,,,,140,527,1235,127,812.1,2,,,37.38,90.79420289855072,221.0,9196.0,1.366575342465753,0.0,527.0,6.8,4.034246575342466,91.0,10.0,14.0,4.0,2.0,0.0,2.0,0.0,2.0,0.425,1.02,0.88,6.0,2.0,30.0,9.073137053314856
84,Astatine,At,,85,,,,150,575,610,269,890,2.2,,,39.49,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.0,575.0,6.0,4.034246575342466,97.0,10.0,14.0,5.0,2.0,0.0,1.0,0.0,2.2,0.475,0.98,0.85,6.0,1.0,31.0,8.903567235646692
85,Radon,Rn,,86,,,,150,202,211.5,0,1037,2.2,,,41.71,90.79420289855072,182.5157894736842,9.73,1.366575342465753,0.0,202.0,5.3,4.034246575342466,103.0,10.0,14.0,6.0,2.0,0.0,0.0,0.0,1.7151020408163267,0.405,0.94,0.84,6.0,0.0,32.0,6.422721195240549
86,Francium,Fr,,87,,,,260,300,950,47,380,0.7,,,79.69,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.0,1296.4714851485148,47.85,4.034246575342466,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,1.0,1.0,8.737012289687554
87,Radium,Ra,,88,,,,221,973,2010,,,0.9,,,68.22,90.79420289855072,229.0,5000.0,1.366575342465753,0.0,973.0,38.3,4.034246575342466,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,0.0,2.0,5.279497291881804
88,Actinium,Ac,,89,,,,,,,,,,,,37.45,90.79420289855072,225.0,10070.0,1.366575342465753,0.0,1323.0,32.1,4.034246575342466,14.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,9.0,3.0,9.966409048495905
89,Thorium,Th,,90,,,,,,,,,,,,32.86,54.0,225.0,11724.0,1.28,0.0,2023.0,32.1,3.3,16.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.3,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,8.0,4.0,10.378167506341553
90,Protactinium,Pa,,91,,,,,,,,,,,,24.94,90.79420289855072,139.0,15370.0,1.366575342465753,0.0,1845.0,25.4,4.034246575342466,18.0,1.0,2.0,0.0,2.0,12.0,0.0,0.0,1.5,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,21.0,5.0,13.43478260651654
91,Uranium,U,,92,,,,,,,,,,,,21.18,100.0,63.0,19050.0,1.51,0.0,1408.0,24.9,3.9,20.0,1.0,3.0,0.0,2.0,11.0,0.0,0.0,1.38,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,20.0,6.0,16.333072989446592
92,Neptunium,Np,,93,,,,,,,,,,,,19.22,90.79420289855072,62.0,20450.0,1.366575342465753,0.0,917.0,24.8,4.034246575342466,22.0,1.0,4.0,0.0,2.0,10.0,0.0,0.0,1.36,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,19.0,7.0,13.84548760053526
93,Plutonium,Pu,,94,,,,,,,,,,,,20.04,90.79420289855072,11.0,19816.0,1.44,0.3180036375,913.0,24.5,3.8,24.0,0.0,6.0,0.0,2.0,8.0,0.0,0.0,1.28,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,8.0,8.0,13.289757448070127
94,Americium,Am,,95,,,,,,,,,,,,29.27,90.79420289855072,194.0,13670.0,1.366575342465753,0.3180036375,1449.0,23.3,4.034246575342466,26.0,0.0,7.0,0.0,2.0,7.0,0.0,0.0,1.3,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,7.0,9.0,12.895355430789756
95,Curium,Cm,,96,,,,,,,,,,,,21.04,90.79420289855072,194.0,13510.0,1.366575342465753,0.3180036375,1618.0,23.0,4.034246575342466,28.0,1.0,7.0,0.0,2.0,7.0,0.0,0.0,1.3,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,16.0,10.0,13.60875139311443
96,Berkelium,Bk,,97,,,,,,,,,,,,31.2,90.79420289855072,194.0,14780.0,1.366575342465753,0.3180036375,1323.0,22.7,4.034246575342466,30.0,0.0,9.0,0.0,2.0,5.0,0.0,0.0,1.3,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,5.0,11.0,13.100830209193937
97,Californium,Cf,,98,,,,,,,,,,,,27.31,90.79420289855072,194.0,15100.0,1.366575342465753,0.3180036375,1173.0,20.5,4.034246575342466,32.0,0.0,10.0,0.0,2.0,4.0,0.0,0.0,1.3,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,4.0,12.0,12.951375423492653
98,Einsteinium,Es,,99,,,,,,,,,,,,27.31,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.3180036375,1133.0,19.7,4.034246575342466,34.0,0.0,11.0,0.0,2.0,3.0,0.0,0.0,1.3,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,3.0,13.0,10.128948338024406
99,Fermium,Fm,,100,,,,,,,,,,,,27.31,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.3180036375,1800.0,23.8,4.034246575342466,36.0,0.0,12.0,0.0,2.0,2.0,0.0,0.0,1.3,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,2.0,14.0,10.652450487582486
100,Mendelevium,Md,,101,,,,,,,,,,,,27.31,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.3180036375,1100.0,18.2,4.034246575342466,38.0,0.0,13.0,0.0,2.0,1.0,0.0,0.0,1.3,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,1.0,15.0,10.011689008226707
101,Nobelium,No,,102,,,,,,,,,,,,27.31,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.3180036375,1100.0,16.4,4.034246575342466,40.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,1.3,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,0.0,16.0,10.00818902171294
102,Rutherfordium,Rf,,104,,,,,,,,,,,,27.31,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.3180036375,1296.4714851485148,14.939155325566011,4.034246575342466,52.0,2.0,14.0,0.0,2.0,0.0,0.0,0.0,1.7151020408163267,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,8.0,18.0,10.522937322596762
103,Dubnium,Db,,105,,,,,,,,,,,,27.31,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.3180036375,1296.4714851485148,14.939155325566011,4.034246575342466,52.0,3.0,14.0,0.0,2.0,0.0,0.0,0.0,1.7151020408163267,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,7.0,19.0,10.511242678426589
104,Seaborgium,Sg,,106,,,,,,,,,,,,27.31,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.3180036375,1296.4714851485148,14.939155325566011,4.034246575342466,52.0,4.0,14.0,0.0,2.0,0.0,0.0,0.0,1.7151020408163267,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,6.0,20.0,10.568063564718017
105,Bohrium,Bh,,107,,,,,,,,,,,,27.31,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.3180036375,1296.4714851485148,14.939155325566011,4.034246575342466,52.0,5.0,14.0,0.0,2.0,0.0,0.0,0.0,1.7151020408163267,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,5.0,21.0,10.563184801950403
106,Hassium,Hs,,108,,,,,,,,,,,,27.31,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.3180036375,1296.4714851485148,14.939155325566011,4.034246575342466,52.0,6.0,14.0,0.0,2.0,0.0,0.0,0.0,1.7151020408163267,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,4.0,22.0,10.56133980585733
107,Meitnerium,Mt,,109,,,,,,,,,,,,27.31,90.79420289855072,182.5157894736842,7707.176274999999,1.366575342465753,0.3180036375,1296.4714851485148,14.939155325566011,4.034246575342466,52.0,7.0,14.0,0.0,2.0,0.0,0.0,0.0,1.7151020408163267,0.4013396226415093,1.1406714285714288,0.9487857142857143,7.0,3.0,23.0,10.571206530725231
